file               offset kind         packed   unpacked depth  sha1
cd32rez            528790 RNC2            178        208     0  fce8b36e84ce
cd32rez            528968 RNC2            175        208     0  a000aac225fd
cd32rez            529144 RNC2            177        208     0  7aaebaf7eb43
cd32rez            529322 RNC2            173        208     0  e7502aacf03e
cd32rez            529496 RNC2            174        208     0  e3dd676c51c0
cd32rez            529670 RNC2            177        208     0  3e141839dbd4
cd32rez            529848 RNC2            181        208     0  30d8f3d1e4ed
cd32rez            530030 RNC2           1832       3016     0  8f73ae34cfb6
cd32rez            531862 RNC2            902       2040     0  b384a17f1680
cd32rez            532908 RNC2            825       1568     0  6b220b7411cb
cd32rez            533734 RNC2            763       1568     0  535ea2129d06
cd32rez            535618 RNC2            305       1128     0  86cea41676e7
cd32rez            535924 RNC2            218        304     0  c71b1727a056
cd32rez            536142 RNC2            217        304     0  00fd57458fca
cd32rez            536360 RNC2            193        304     0  5522310caabc
cd32rez            536554 RNC2            180        304     0  7505b589bc07
cd32rez            536734 RNC2             67        112     0  732dec43c6e6
cd32rez            536802 RNC2             64        112     0  644052ef6f22
cd32rez            536866 RNC2             59        112     0  08b7182acca4
cd32rez            536926 RNC2             61        112     0  959095fb4985
cd32rez            536988 RNC2             71         80     0  9534a0e2a5a1
cd32rez            537060 RNC2           1503       2848     0  487682efd440
cd32rez            538564 RNC2            218        400     0  fec06c122195
cd32rez            538782 RNC2            284        600     0  4886a4822552
cd32rez            539066 RNC2            208        416     0  7539fd9a2c01
cd32rez            539274 RNC2            228        472     0  707c1fe64bfd
cd32rez            539502 RNC2            216        400     0  62f57de2abde
cd32rez            539718 RNC2            199        400     0  5499ae384e9c
cd32rez            539918 RNC2            102        144     0  79a1843cdfe3
cd32rez            540020 RNC2            106        144     0  d31eb9114b18
cd32rez            540126 RNC2             99        144     0  f01c2f42e7c6
cd32rez            540226 RNC2            108        144     0  92be1e5d6787
cd32rez            540958 RNC2            106        112     0  7627af5e8764
cd32rez            541064 RNC2            104        112     0  d099c2aa2dfd
cd32rez            541168 RNC2           1360       2664     0  3bbc38b91ab8
cd32rez            542528 RNC2            453       1280     0  d94582a0cda1
cd32rez            542982 RNC2            500       1280     0  dc5b662fa98a
cd32rez            543482 RNC2            505       1280     0  028cb6cfc688
cd32rez            543988 RNC2           2104       3576     0  28041fe28efd
cd32rez            546092 RNC2            543       1736     0  02d3388a9f06
cd32rez            546636 RNC2            520       1576     0  bfe3acf67405
cd32rez            547156 RNC2            533       1736     0  4b9068745b44
cd32rez            547690 RNC2           2660       5016     0  e956bfe1c24e
cd32rez            550350 RNC2            676       1480     0  91f9d606c15a
cd32rez            551026 RNC2            675       1480     0  80460bf003d4
